rank,pano_id,crop_id,lat,lon,yaw_deg,pitch_deg,fov_deg,src_w,src_h,out_size,path,visual_sim,label,text_sim,orb_score,score
1,1297349180_673357370_23_1644319390,1297349180_673357370_23_1644319390_y225_p+10_f080_s512.jpg,55.74122143,37.48510431,225,10,80,17664,8832,512,data/crops/1297349180_673357370_23_1644319390/1297349180_673357370_23_1644319390_y225_p+10_f080_s512.jpg,0.58119136,11295,0.0,0.0,0.7
2,1297348765_673357590_23_1644319389,1297348765_673357590_23_1644319389_y240_p+00_f080_s512.jpg,55.74120062,37.48503468,240,0,80,17664,8832,512,data/crops/1297348765_673357590_23_1644319389/1297348765_673357590_23_1644319389_y240_p+00_f080_s512.jpg,0.5604529,11392,0.0,0.04,0.55929106
3,1297349935_673356970_23_1644319392,1297349935_673356970_23_1644319392_y210_p+10_f080_s512.jpg,55.74125926,37.48523087,210,10,80,17664,8832,512,data/crops/1297349935_673356970_23_1644319392/1297349935_673356970_23_1644319392_y210_p+10_f080_s512.jpg,0.54524887,12806,0.0,0.0,0.4353355
4,1297334922_673352312_23_1644319036,1297334922_673352312_23_1644319036_y270_p+10_f080_s512.jpg,55.74169971,37.4827142,270,10,80,17664,8832,512,data/crops/1297334922_673352312_23_1644319036/1297334922_673352312_23_1644319036_y270_p+10_f080_s512.jpg,0.54001784,17058,0.0,0.05,0.4118166
5,1297348467_673358774_23_1644319386,1297348467_673358774_23_1644319386_y345_p+10_f080_s512.jpg,55.7410886,37.48498482,345,10,80,17664,8832,512,data/crops/1297348467_673358774_23_1644319386/1297348467_673358774_23_1644319386_y345_p+10_f080_s512.jpg,0.5381542,10871,0.0,0.04,0.3950934
6,1297348307_673358181_23_1644319387,1297348307_673358181_23_1644319387_y285_p-10_f080_s512.jpg,55.74114465,37.48495802,285,-10,80,17664,8832,512,data/crops/1297348307_673358181_23_1644319387/1297348307_673358181_23_1644319387_y285_p-10_f080_s512.jpg,0.5363446,10915,0.0,0.04,0.38176835
7,1297348368_673360217_23_1644319378,1297348368_673360217_23_1644319378_y240_p+10_f080_s512.jpg,55.74095215,37.48496811,240,10,80,17664,8832,512,data/crops/1297348368_673360217_23_1644319378/1297348368_673360217_23_1644319378_y240_p+10_f080_s512.jpg,0.5329034,8848,0.0,0.05,0.35942882
8,1297339815_673356081_23_1644319338,1297339815_673356081_23_1644319338_y270_p+10_f080_s512.jpg,55.74134326,37.48353439,270,10,80,17664,8832,512,data/crops/1297339815_673356081_23_1644319338/1297339815_673356081_23_1644319338_y270_p+10_f080_s512.jpg,0.5296252,13962,0.0,0.04,0.3322896
9,1297337483_673351940_23_1644319325,1297337483_673351940_23_1644319325_y330_p+10_f080_s512.jpg,55.74173486,37.4831434,330,10,80,17664,8832,512,data/crops/1297337483_673351940_23_1644319325/1297337483_673351940_23_1644319325_y330_p+10_f080_s512.jpg,0.52803904,17422,0.0,0.05,0.32361
10,1297337698_673352336_23_1644319327,1297337698_673352336_23_1644319327_y015_p+10_f080_s512.jpg,55.74169744,37.48317947,15,10,80,17664,8832,512,data/crops/1297337698_673352336_23_1644319327/1297337698_673352336_23_1644319327_y015_p+10_f080_s512.jpg,0.52999735,16969,0.0,0.0,0.3230301
